ID_Alumno,Nombre_Apellido,Edad,Genero,Email,Comision,Turno,Fecha_Inscripcion,Actividad,Tipo_Actividad,Fecha_Limite,Fecha_Entrega,Nota,Estado_Entrega
A00206,Bautista Medina,17,M,bautista.medina206@alumnos.tup.edu.ar,B2,Tarde,05/03/2026,Quiz_02,Quiz,2026-04-27,26-04-2026,4.1,a tiempo
A00363,Lucas Molina,17,Femenino,lucas.molina363@alumnos.tup.edu.ar,B1,Tarde,2026-02-14,Quiz_03,Quiz,25/05/2026,2026-05-22,4.8,A tiempo
A00004,Camila Alvarez,23,F,camila.alvarez4@alumnos.tup.edu.ar,C1,Noche,2026-03-06,TP_01,TP,16/03/2026,,,no entregó
A00517,Agustin Acosta,22,M,agustin.acosta517@alumnos.tup.edu.ar,A1,Mañana,2026-03-09,Parcial_01,Parcial,2026-06-22,2026-06-27,"7,2",TARDE
A00575,Lucas Sanchez,28,M,lucas.sanchez575@alumnos.tup.edu.ar,A3,Mañana,06-03-2026,TP_02,TP,13/04/2026,,,no entregó
A00468,manuel perez,28,Masculino,manuel.perez468@alumnos.tup.edu.ar,C2,Noche,2026-02-16,Quiz_01,Quiz,2026-03-30,,,
A00192,Emma Sanchez,17,F,emma.sanchez192@alumnos.tup.edu.ar,C1,Noche,11-03-2026,Parcial_01,Parcial,2026-06-22,,,No entrego
A00398,Antonella Castro,31,F,antonella.castro398@alumnos.tup.edu.ar,B1,Tarde,28/02/2026,TP_01,TP,2026-03-16,,,No entrego
A00622,Gabriel Fernandez,17,M,, a3 ,MAÑANA,2026-02-28,Quiz_01,Quiz,30-03-2026,2026-03-26,7.2,A TIEMPO
A00470,Valentina Sosa,21,F,valentina.sosa470@alumnos.tup.edu.ar, b1 ,Tarde,26/02/2026,TP_03,TP,11/05/2026,,,No entrego
A00438,Olivia Nuñez,20,F,olivia.nuñez438@alumnos.tup.edu.ar,A3,Mañana,16/02/2026,TP_04,TP,2026-06-08,2026-06-03,7.1,A TIEMPO
A00466,Diego Silva,22,M,diego.silva466@alumnos.tup.edu.ar,C4,Noche,2026-02-26,TP_03,TP,2026-05-11,2026-05-10,8.5,a tiempo
