ID_Alumno,Nombre_Apellido,Edad,Genero,Comision,Turno,Entregas_Previas,Entregas_A_Tiempo,Total_Actividades_Previas,Promedio_Previo,Indice_Constancia,Nota_Parcial,Estado_Final,Nota Final,Estado,Comisión
A00001,Catalina Ortiz,25,M,C1,Noche,6,5,7,7.483333333333333,71.43,6.7,Aprobado,6.7,Aprobado,C1
A00002,Mora Nuñez,24,F,B2,Tarde,5,2,7,4.82,28.57,5.1,Recupera,5.1,Recupera,B2
A00003,Mateo Benitez,25,F,B2,Tarde,5,4,7,6.12,57.14,9.0,Aprobado,9.0,Aprobado,B2
A00004,Camila Alvarez,23,F,C1,Noche,4,3,7,6.125,42.86,,Ausente,,Ausente,C1
A00005,Thiago Luna,31,M,B2,Tarde,7,6,7,8.028571428571428,85.71,8.5,Aprobado,8.5,Aprobado,B2
A00006,Tomas Ortiz,18,M,C4,Noche,4,4,7,6.275,57.14,,Ausente,,Ausente,C4
A00007,Pilar Gonzalez,28,F,B1,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B1
A00008,Ignacio Silva,17,F,B1,Tarde,7,5,7,6.8,71.43,,Ausente,,Ausente,B1
A00009,Catalina Herrera,20,F,A3,Mañana,7,7,7,6.114285714285714,100.0,,Ausente,,Ausente,A3
A00010,Antonella Ruiz,22,M,C2,Noche,7,6,7,6.3,85.71,5.7,Recupera,5.7,Recupera,C2
A00011,Lucia Medina,23,M,C1,Noche,6,3,7,4.616666666666666,42.86,3.6,Desaprobado,3.6,Desaprobado,C1
A00012,Isabella Nuñez,20,M,B2,Tarde,7,6,7,7.2,85.71,6.0,Aprobado,6.0,Aprobado,B2
A00013,Bautista Perez,17,F,B2,Tarde,1,1,7,7.7,14.29,,Ausente,,Ausente,B2
A00014,Isabella Ruiz,25,F,A1,Mañana,0,0,7,,0.0,,Ausente,,Ausente,A1
A00015,Guadalupe Lopez,17,F,C1,Noche,7,7,7,8.457142857142857,100.0,8.6,Aprobado,8.6,Aprobado,C1
A00016,Benjamin Torres,19,M,C1,Noche,5,4,7,5.9799999999999995,57.14,4.8,Recupera,4.8,Recupera,C1
A00017,Ignacio Lopez,23,F,A1,Mañana,6,4,7,6.8,57.14,4.8,Recupera,4.8,Recupera,A1
A00018,Joaquin Luna,21,F,C1,Noche,4,3,7,5.4,42.86,,Ausente,,Ausente,C1
A00019,Mia Sosa,23,M,C3,Noche,6,4,7,4.916666666666667,57.14,,Ausente,,Ausente,C3
A00020,Ignacio Ortiz,21,F,A1,Mañana,7,7,7,8.0,100.0,10.0,Aprobado,10.0,Aprobado,A1
A00021,Renata Herrera,18,F,B1,Tarde,2,2,7,6.25,28.57,,Ausente,,Ausente,B1
A00022,Emma Garcia,27,M,B1,Tarde,5,5,7,6.58,71.43,6.9,Aprobado,6.9,Aprobado,B1
A00023,Thiago Garcia,17,F,A2,Mañana,1,1,7,6.4,14.29,,Ausente,,Ausente,A2
A00024,Ignacio Fernandez,17,X,B1,Tarde,5,4,7,6.580000000000001,57.14,7.7,Aprobado,7.7,Aprobado,B1
A00025,Santino Ruiz,20,F,B1,Tarde,6,4,7,5.883333333333333,57.14,6.6,Aprobado,6.6,Aprobado,B1
A00026,Emma Medina,26,M,B1,Tarde,4,4,7,6.45,57.14,,Ausente,,Ausente,B1
A00027,Joaquin Sosa,22,M,A3,Mañana,6,3,7,3.533333333333333,42.86,,Ausente,,Ausente,A3
A00028,Nicolas Torres,23,M,A2,Mañana,5,5,7,6.6,71.43,6.3,Aprobado,6.3,Aprobado,A2
A00029,Delfina Benitez,28,F,C4,Noche,6,4,7,5.233333333333333,57.14,,Ausente,,Ausente,C4
A00030,Victoria Romero,17,M,B2,Tarde,6,4,7,6.366666666666667,57.14,5.4,Recupera,5.4,Recupera,B2
A00031,Federico Ruiz,21,F,C1,Noche,6,4,7,6.083333333333333,57.14,,Ausente,,Ausente,C1
A00032,Federico Herrera,22,F,A2,Mañana,7,7,7,6.8999999999999995,100.0,8.1,Aprobado,8.1,Aprobado,A2
A00033,Florencia Medina,23,M,B1,Tarde,1,1,7,4.2,14.29,,Ausente,,Ausente,B1
A00034,Valentino Ortiz,26,M,C1,Noche,4,4,7,7.225,57.14,8.5,Aprobado,8.5,Aprobado,C1
A00035,Valentino Medina,20,F,B1,Tarde,3,2,7,5.233333333333333,28.57,6.6,Aprobado,6.6,Aprobado,B1
A00036,Nicolas Vega,17,M,C2,Noche,7,7,7,7.928571428571429,100.0,9.5,Aprobado,9.5,Aprobado,C2
A00037,Federico Molina,17,M,B2,Tarde,5,3,7,5.54,42.86,,Ausente,,Ausente,B2
A00038,Federico Ramirez,17,M,A1,Mañana,4,3,7,4.8,42.86,,Ausente,,Ausente,A1
A00039,Emma Perez,23,M,C3,Noche,7,6,7,7.585714285714286,85.71,7.7,Aprobado,7.7,Aprobado,C3
A00040,Martina Sosa,25,F,C3,Noche,5,4,7,7.4,57.14,7.6,Aprobado,7.6,Aprobado,C3
A00041,Thiago Ortiz,20,M,C2,Noche,7,6,7,6.171428571428572,85.71,4.4,Recupera,4.4,Recupera,C2
A00042,Emma Garcia,28,F,A3,Mañana,6,6,7,7.283333333333334,85.71,,Ausente,,Ausente,A3
A00043,Maximo Martinez,20,M,A1,Mañana,6,5,7,3.2999999999999994,71.43,,Ausente,,Ausente,A1
A00044,Gabriel Rojas,20,M,B2,Tarde,1,1,7,4.7,14.29,,Ausente,,Ausente,B2
A00045,Olivia Romero,18,X,A1,Mañana,6,5,7,6.466666666666666,71.43,7.7,Aprobado,7.7,Aprobado,A1
A00046,Ignacio Molina,19,F,A3,Mañana,3,2,7,4.966666666666666,28.57,,Ausente,,Ausente,A3
A00047,Maximo Ramirez,28,F,C4,Noche,6,5,7,5.5,71.43,4.1,Recupera,4.1,Recupera,C4
A00048,Martina Medina,17,F,A2,Mañana,5,4,7,6.9,57.14,,Ausente,,Ausente,A2
A00049,Gabriel Diaz,24,F,C4,Noche,1,1,7,8.9,14.29,,Ausente,,Ausente,C4
A00050,Lucas Ramirez,17,M,B2,Tarde,7,7,7,8.742857142857144,100.0,7.9,Aprobado,7.9,Aprobado,B2
A00051,Diego Castro,19,M,A1,Mañana,6,6,7,6.633333333333333,85.71,6.4,Aprobado,6.4,Aprobado,A1
A00052,Valentino Sanchez,22,M,C2,Noche,7,7,7,6.814285714285715,100.0,6.3,Aprobado,6.3,Aprobado,C2
A00053,Renata Medina,17,F,C4,Noche,0,0,7,,0.0,,Ausente,,Ausente,C4
A00054,Gabriel Diaz,20,M,B1,Tarde,7,6,7,8.428571428571429,85.71,10.0,Aprobado,10.0,Aprobado,B1
A00055,Delfina Ortiz,18,F,A2,Mañana,6,3,7,4.433333333333334,42.86,,Ausente,,Ausente,A2
A00056,Victoria Rodriguez,18,M,B1,Tarde,7,5,7,6.885714285714286,71.43,,Ausente,,Ausente,B1
A00057,Martina Diaz,22,M,A1,Mañana,7,7,7,8.657142857142857,100.0,9.4,Aprobado,9.4,Aprobado,A1
A00058,Delfina Ramirez,19,F,B2,Tarde,4,3,7,5.4,42.86,,Ausente,,Ausente,B2
A00059,Delfina Perez,18,F,B2,Tarde,0,0,7,,0.0,,Ausente,,Ausente,B2
A00060,Diego Luna,35,F,C3,Noche,5,4,7,5.86,57.14,3.9,Desaprobado,3.9,Desaprobado,C3
A00061,Mateo Nuñez,24,M,A2,Mañana,5,5,7,6.56,71.43,7.1,Aprobado,7.1,Aprobado,A2
A00062,Valentino Ortiz,30,M,A1,Mañana,6,6,7,6.733333333333333,85.71,,Ausente,,Ausente,A1
A00063,Florencia Romero,24,F,C3,Noche,7,6,7,7.142857142857143,85.71,8.7,Aprobado,8.7,Aprobado,C3
A00064,Benjamin Aguirre,21,M,A1,Mañana,3,0,7,5.733333333333333,0.0,,Ausente,,Ausente,A1
A00065,Federico Medina,20,M,A2,Mañana,7,7,7,7.985714285714286,100.0,5.6,Recupera,5.6,Recupera,A2
A00066,Bruno Torres,29,F,B1,Tarde,5,4,7,4.98,57.14,,Ausente,,Ausente,B1
A00067,Olivia Luna,18,F,A2,Mañana,5,3,7,5.680000000000001,42.86,,Ausente,,Ausente,A2
A00068,Martina Garcia,19,F,A1,Mañana,6,5,7,6.416666666666667,71.43,8.3,Aprobado,8.3,Aprobado,A1
A00069,Bautista Acosta,27,M,C3,Noche,5,2,7,4.18,28.57,,Ausente,,Ausente,C3
A00070,Agustin Lopez,24,M,C3,Noche,4,1,7,5.475,14.29,,Ausente,,Ausente,C3
A00071,Guadalupe Ruiz,17,F,B2,Tarde,7,7,7,7.785714285714286,100.0,9.6,Aprobado,9.6,Aprobado,B2
A00072,Bautista Nuñez,25,M,C3,Noche,0,0,7,,0.0,,Ausente,,Ausente,C3
A00073,Diego Alvarez,19,F,B1,Tarde,1,1,7,7.0,14.29,,Ausente,,Ausente,B1
A00074,Paula Garcia,21,M,A1,Mañana,6,5,7,5.866666666666667,71.43,,Ausente,,Ausente,A1
A00075,Mia Gonzalez,23,F,B1,Tarde,7,7,7,8.842857142857143,100.0,10.0,Aprobado,10.0,Aprobado,B1
A00076,Maximo Flores,17,M,C1,Noche,6,5,7,6.716666666666666,71.43,,Ausente,,Ausente,C1
A00077,Diego Garcia,21,X,B2,Tarde,7,5,7,5.614285714285714,71.43,6.8,Aprobado,6.8,Aprobado,B2
A00078,Florencia Ruiz,18,M,A2,Mañana,6,6,7,6.916666666666667,85.71,7.1,Aprobado,7.1,Aprobado,A2
A00079,Paula Luna,30,F,A1,Mañana,7,7,7,8.77142857142857,100.0,7.8,Aprobado,7.8,Aprobado,A1
A00080,Lautaro Herrera,26,M,C2,Noche,0,0,7,,0.0,,Ausente,,Ausente,C2
A00081,Victoria Silva,23,F,C3,Noche,7,7,7,8.657142857142857,100.0,8.8,Aprobado,8.8,Aprobado,C3
A00082,Delfina Rodriguez,23,M,A3,Mañana,5,3,7,4.74,42.86,4.7,Recupera,4.7,Recupera,A3
A00083,Santino Rojas,21,F,A2,Mañana,5,4,7,7.279999999999999,57.14,8.4,Aprobado,8.4,Aprobado,A2
A00084,Felipe Ruiz,20,F,C3,Noche,1,1,7,6.2,14.29,,Ausente,,Ausente,C3
A00085,Lucia Medina,27,F,C4,Noche,1,0,7,6.5,0.0,,Ausente,,Ausente,C4
A00086,Antonella Suarez,25,F,B1,Tarde,1,0,7,6.7,0.0,,Ausente,,Ausente,B1
A00087,Bautista Silva,19,M,C3,Noche,6,4,7,6.916666666666667,57.14,5.7,Recupera,5.7,Recupera,C3
A00088,Gabriel Molina,20,F,C4,Noche,2,0,7,4.4,0.0,,Ausente,,Ausente,C4
A00089,Maximo Silva,21,M,A1,Mañana,7,5,7,6.228571428571429,71.43,7.1,Aprobado,7.1,Aprobado,A1
A00090,Joaquin Ramirez,29,M,A2,Mañana,4,4,7,6.475,57.14,7.2,Aprobado,7.2,Aprobado,A2
A00091,Martina Aguirre,17,M,A1,Mañana,6,6,7,6.3,85.71,8.7,Aprobado,8.7,Aprobado,A1
A00092,Mia Vega,23,F,B1,Tarde,6,4,7,4.216666666666667,57.14,,Ausente,,Ausente,B1
A00093,Martina Medina,20,F,C3,Noche,6,6,7,5.983333333333333,85.71,7.5,Aprobado,7.5,Aprobado,C3
A00094,Nicolas Rodriguez,20,M,A2,Mañana,7,5,7,8.414285714285715,71.43,7.8,Aprobado,7.8,Aprobado,A2
A00095,Bruno Diaz,29,F,B2,Tarde,7,6,7,6.557142857142857,85.71,7.8,Aprobado,7.8,Aprobado,B2
A00096,Renata Torres,25,M,C2,Noche,0,0,7,,0.0,,Ausente,,Ausente,C2
A00097,Maximo Diaz,27,M,C3,Noche,7,6,7,7.2,85.71,7.2,Aprobado,7.2,Aprobado,C3
A00098,Maximo Castro,25,F,A3,Mañana,6,4,7,4.933333333333334,57.14,,Ausente,,Ausente,A3
A00099,Florencia Acosta,24,M,A3,Mañana,5,3,7,4.9799999999999995,42.86,6.3,Aprobado,6.3,Aprobado,A3
A00100,Camila Ramirez,24,F,B2,Tarde,7,6,7,7.6571428571428575,85.71,8.9,Aprobado,8.9,Aprobado,B2
A00101,Ignacio Perez,17,F,B1,Tarde,7,6,7,6.314285714285715,85.71,,Ausente,,Ausente,B1
A00102,Benjamin Benitez,25,F,C2,Noche,5,5,7,6.3,71.43,,Ausente,,Ausente,C2
A00103,Manuel Ramirez,20,M,A1,Mañana,6,5,7,8.516666666666667,71.43,7.1,Aprobado,7.1,Aprobado,A1
A00104,Delfina Alvarez,17,M,C2,Noche,6,5,7,6.933333333333334,71.43,5.9,Recupera,5.9,Recupera,C2
A00105,Agustin Alvarez,20,F,A2,Mañana,6,5,7,7.266666666666667,71.43,6.6,Aprobado,6.6,Aprobado,A2
A00106,Paula Diaz,28,M,A1,Mañana,7,6,7,8.7,85.71,9.2,Aprobado,9.2,Aprobado,A1
A00107,Federico Suarez,27,F,C4,Noche,6,5,7,6.333333333333333,71.43,7.3,Aprobado,7.3,Aprobado,C4
A00108,Bruno Lopez,23,F,A2,Mañana,7,4,7,7.128571428571428,57.14,,Ausente,,Ausente,A2
A00109,Joaquin Aguirre,33,M,B2,Tarde,6,6,7,6.583333333333333,85.71,6.1,Aprobado,6.1,Aprobado,B2
A00110,Diego Sosa,23,M,B2,Tarde,7,7,7,7.214285714285714,100.0,,Ausente,,Ausente,B2
A00111,Maximo Romero,17,F,A1,Mañana,7,7,7,8.9,100.0,8.6,Aprobado,8.6,Aprobado,A1
